"Horodateur","What is your year of birth? / Quelle est votre année de naissance? ","What is your programming level expertise in general? / Quel est votre niveau d'expertise en programmation de manière générale?","What is your programming level expertise in object-oriented programming (whatever your preferred OO language may be: Java, Python, Ruby, C++, Smalltalk, ...)? / Quel est votre niveau d'expertise en programmation orientée objet (quelque soit votre langage OO préféré: Java, Python, Ruby, C++, Smalltalk...)?","What is your level of expertise in the Ruby programming language? / Quel est votre niveau d'expertise concernant le langage de programmation Ruby?","What is your level of expertise regarding Design Patterns? / Quel est votre niveau d'expertise concernant les patrons de conception (''Design Patterns'')?","What is your level of expertise in Feature Modelling? / Quel est votre niveau d'expertise concernant la modélisation des ''features''? ","What features are currently activated? / Quelles ""features"" sont actuellement activées?","What is the expected result of execution at this point in the program? / Quel est le résultat de l'exécution à cet emplacement dans le programme?","What is the activation order of the different features? / Quelle est l'ordre d'activation des différentes ""features""?","What features are currently activated? / Quelles ""features"" sont actuellement activées?","What is the expected result of execution at this point in the program? / Quel est le résultat de l'exécution à cet emplacement dans le programme?","What is the activation order of the different features? / Quelle est l'ordre d'activation des différentes ""features""?","Is the dynamic representation of the activated features in the visualisation tool understandable? Est-ce que la représentation dynamique des features activées dans l'outil de visualisation est compréhensible?","Can this visualisation tool help you to better understand a program developed using this programming approach? / Est-ce que cet outil de visualisation peut vous aider à mieux comprendre un programme se basant sur cette approche de programmation?","Can this visualisation tool help you to better debug such a program? / Est-ce que cet outil de visualisation peut vous aider à mieux déboguer un tel programme?","Do you think this visualisation tool is easy to use? Est-ce que cet outil de visualisation vous semble facile d'utilisation?","What particular functionalities of this visualisation tool can improve a developer's experience with this programming approach and why? / Quelles fonctionnalités de cet outil de visualisation pourraient améliorer l'expérience utilisateur d'un développeur utilisant cette approche de programmation et pourquoi?","What could or should be improved in the visualisation tool to further enhance a developer's experience, and why? / Comment est-ce que l'outil de visualisation pourrait ou devrait être encore amélioré pour augmenter encore plus l'expérience utilisateur d'un développeur, et pourquoi?"
"2017/12/21 12:32:36 PM UTC+1","1995","5","4","2","4","3","InstructRisk, InstructEarthQuake, InstructEarthQuake_before, InstructEarthQuake_during, InstructEarthQuake_after","General informations about risk + General informations about earthquake + Informations before, during & after ","Installation order: 

InstructRisk, InstructEarthQuake, InstructEarthQuake_before, InstructEarthQuake_durnig, InstructEarthQuake_after

Call order: 

InstructEarthQuake_after is called before InstructRisk, but as proceed is the first call, the output will be InstructRisk informations before InstructEarthQuake information

(the meaning of activation is a bit unclear: does it mean installation or execution? ) ","Instruct, InstructEarthQuake, ...Before, ...BeforeChild, ...During, ...DuringChild, ...After, ...AfterChild","General instructions
Instructions after earthquake
Instructions before earthquake
Instructions before earthquake, specifics to the child 
....","Instruct, InstructEarthQuake, ...Before, ...During, ...After, ...BeforeChild, ...DuringChild, ...AfterChild","2","4","3","4","- Voir les fonctionnalités actuellement activées / désactivées 
- Voir les méthodes / le code de chacune des fonctionnalités activées ","Pourquoi représenter les features comme un graphe alors que c'est une liste chaînée (selon moi); l'interaction entre les features et l'appel de proceed ne semble pas très clair dans l'outil (les features sont appelées dans un sens et s'exécutent dans l'autre). "
"2017/12/21 12:39:34 PM UTC+1","1995","4","4","1","4","3","Before, during and after instructions  features, earthquake feature and risk feature ","The results le the features ","Normal order","?","?","?","4","3","4","5","",""
"2017/12/21 12:40:58 PM UTC+1","1995","4","4","3","3","2","Instruct_risk, Instruct_earthquake,  Instruct_earthquake_before,  Instruct_earthquake_during,  Instruct_earthquake_after","Before instruction, during instruction, after instruction","Instruct_risk, Instruct_earthquake,  Instruct_earthquake_before,  Instruct_earthquake_during,  Instruct_earthquake_after","Active earthquake and timing","General instructions with also severity and zone, instruction for the 3 stages,
Instructions for before","Passive earthquake, active earthquake, install timing","4","5","4","3","The sequence accompanied bu the code of the feature","Showing all the sequence instead of deleting those things that were uninstalled"
"2017/12/21 12:41:40 PM UTC+1","1993","4","4","3","3","3","instruct_risk, instruct_earthquake, instruct_earthquake_{before, during, after}","the print of all the instruction (default, during before and after)","instruct_risk, instruct_earthquake, instruct_earthquake_{before, during, after}","instruct, risk_instruct, instruct_earthquake, instruct_earthquake_before_child, instruct_earthquake_during_child, instruct_earthquake_after_child","any idea, i loose the understanding here","instruct, risk_instruct, instruct_earthquake, instruct_earthquake_before_child, instruct_earthquake_during_child, instruct_earthquake_after_child","4","5","5","4","la visualisation avec la console intégrée","Il faudrait avoir la possibilité de filtrer la vue, afin de ne pas avoir un graph trop chargé. Pouvoir se concentrer seulement sur certain type de feature, etc ... "
"2017/12/21 12:42:10 PM UTC+1","1995","3","4","1","3","3","instruct, instruct_risk, instruct_earthquake, instruct_earthquake_before, instruct_earthquake_during, instruct_earthquake_after","Générale informations, instruction avant/pendant/après le tremblement","instruct_risk, instruct, instruct_earthquake, instruct_earthquake_before, instruct_earthquake_during, instruct_earthquake_after","instruct, risk_instruct, instruct_earthquake, instruct_earthquake_before_child, severity_richter, circle_impact_zone, time_state","Informations sur le profil, information générale, information sur le tremblement de terre, instructions avant/pendant/après,  information sur le tremblement de terre actif (avec échelle de richter et zone), instructions avant/pendant/après pour enfant, information sur le timing, instruction avant pour enfant","risk_instruct, instruct, instruct_earthquake, severity_richter, circle_impact_zone, time_state, instruct_earthquake_before_child","5","5","4","4","Le step-by-step est utile pour le debug.","/"
"2017/12/21 12:43:04 PM UTC+1","1995","3","4","1","3","2","instruct_risk, instruct_earthquake,  instruct_earthquake_before, instruct_earthquake_during,  instruct_earthquake_after","Information displayed from each method in this order : instruct_risk, instruct_earthquake,  instruct_earthquake_before, instruct_earthquake_during,  instruct_earthquake_after","instruct_risk, instruct_earthquake,  instruct_earthquake_before, instruct_earthquake_during,  instruct_earthquake_after","instruct_risk, instruct_earthquake, instruct_earthquake_during_child,  instruct_earthquake_during_senior, instruct_earthquake_after_child,  instruct_earthquake_after_senior, install_timing, features activated by simulate_next_timing earthquake (SecuRichter, CircleImpactZone, InstructEarthquake, InstructEarthquakeBeforeChild)","Things displayed in the same order as the one given in question 3 (I don't remember exactly which methods display something or not)","instruct_risk,  instruct_earthquake, instruct_earthquake_during_child,  instruct_earthquake_during_senior, instruct_earthquake_after_child,  instruct_earthquake_after_senior, install_timing, THEN features activated by simulate_next_timing earthquake (SecuRichter, CircleImpactZone, InstructEarthquake, InstructEarthquakeBeforeChild)","5","4","4","4","L'affichage en lui-même des features en temps réel en fonction du ""scénario"" sous-jacent.","Afficher une ""stack"" des méthodes qui seront exécutées selon le scénario sous-jacent. Bien que cela puisse surcharger le visuel, cela peut être très utile pour rapidement voir ce que le programme fait exactement, ce qui permettrait de débugger rapidement."
"2017/12/21 12:43:41 PM UTC+1","1993","3","3","2","3","4","instruct_risk, instruct_earthquake, instruct_before, instruct_during, instruct_after","Les outputs de toutes les features","instruct_risk, instruct_earthquake, instruct_before, instruct_during, instruct_after","instruct_risk, instruct_earthquake, instruct (idle) ","Instructions générales sans les before, during, after car on est dans idle pour l'instant ","instruct_risk, instruct_earthquake, timestate","5","4","4","4","Mettre une stack de context à côté ","Ajuster les classes et features pour une meilleure lisibilité "
"2017/12/21 12:43:55 PM UTC+1","1995","3","4","1","3","2","instruct_risk, instruct_earthquake_before, instruct_earthquake_after, instruct_earthquake_during","instruction, instruction earthquake, before during after","?","passive earthquake
instruc
timing","?","?","3","3","3","4","?","?"
"2017/12/21 12:43:58 PM UTC+1","1995","4","4","1","2","2","instructRisk, instructEarthquake, instructEarthquakeBefore, instructEarthquakeDuring, instructEarthquakeAfter","""the instruction for a risk"" + ""the instruction for an earthquake"" + ""the instruction for before an earthquake"" + ""the instruction for during an earthquake"" + ""the instruction for after an earthquake""","instructRisk, instruct, instructEarthquakeBefore, instructEarthquakeDuring, instructEarthquakeAfter","severityRiechter, CircleImpactZone, InstructEarthquake, instructEarthquakeBeforeChild, TimeState","generic info about risk +
generic info about earthquake
info about severityRiechter +
info about CircleImpactZone +
info about InstructEarthquake +
info about instructEarthquakeBeforeChild +
info about TimeState","Same features as question 1 but in reverse order","4","5","2","3","It helps see the hierarchy of the features and what features are enabled","a previous button for the step by step visualisation to better see what happen on a specific step"
"2017/12/21 12:44:01 PM UTC+1","1994","3","4","1","3","3","Instruct risk, earthquake(general,before,during,after)","Installing the passive earthquake, general info for earthquake, info before, during then after","Installing the passive earthquake, general info for earthquake, info before, during then after","Earthquake, timestate, severityrichter, circleimpactzone, instructearthquake, instructearthquakebeforechild","Install active earthquake instructions then install timing instructions finally simulate next timing earthquake instruction","Earthquake, timestate, severityrichter, circleimpactzone, instructearthquake, instructearthquakebeforechild","4","3","4","4","The fact that we can a concrete visualisation of the implementation helps the developer to find some bug it directly show if what we obtained is what we need ","Having the option to show the detail of one specific element"
