"Horodateur","Provide us your anonymous identifier","Can you explain briefly, in your own words, what is a context-oriented system?","Can you briefly explain, in your own words, what is a context? Give an example.","Can you briefly explain what is a feature? Give an example.","Can you explain briefly the difference between the context-oriented programming paradigm and the feature-based context-oriented programming paradigm?"
"2020/09/29 12:45:58 PM UTC+1","AudeJavel","A context-oriented system is a system that automatically adapt his tools, features depending on the current context. The system is changing dynamically with the environment changes (the location, the system hardware, ...).","A context is the environment in which the system is. It is generally something external to the system that influences it and forces it to adapt in order to keep some coherence. For example, a GPS will choose the map depending on the continent where the user is located.","A feature is a functionality that can be part of the system or not, depending on the requirements. For example a car can have a GPS integrated or not.","Context-oriented programming is about making software that can adapt to it's environment, like a phone app that displays in portrait or landscape mode. Feature-based context-oriented programming is developing features that are linked to a context therefore the context limits the features. For example a budget car can only have one USB slot."
"2020/09/29 12:52:38 PM UTC+1","Harry Potter","C'est un système qui maintient de l'information (variables, classes,...) en mémoire et qui peut être utile pour adapter le système au contexte.","Le contexte représente l'environnement (utilisateurs, droits d'utilisateur, température, météo,...) dans lequel le système est utilisé.","Une ""feature"" est une fonctionnalité que le système propose à l'utilisateur. Par exemple l'orientation de l'écran (paysage ou portrait).","Les features représentent des fonctionnalités concrètes du système alors que le contexte représente des notions un peu plus abstraites qui influencent le comportement des features. Au niveau programmation on ne voit pas encore bien la différence pour l'instant."
"2020/09/29 2:48:00 PM UTC+1","Walter White","It is a system that is behave as a function of the context.","A context is a collection of data on a situation.
Example: In a plane, all the data coming from sensors, meteo, air traffic, ...","A feature is a concrete ""aspect of the system"" for which the user can interact with.
Example: In a plane, climate control for each user.","Feature-based is a way of modeling based on the features only.
In context-based, we mant to model different behaviours depending on the context.
It is a super set of feature-based programming."
"2020/09/29 3:02:29 PM UTC+1","FTR","A system that acts differently depending on the context.","A context is the current status of the environment in which the system operates. 
Example: for a smartphone (which would be the system), the context is the battery level, the exterior brightness, the screen brightness, the current location and signal strength (GPS, mobile, wifi, bluetooth), ...","A feature is something that can be done or that's proposed by the system, that is a characteristic of a system's element. 
Like defined by IEEE: ""A distinguishing characteristic of a software item"".","Context-oriented programming: program a system that acts accordingly to the context.

Feature-based context-oriented programming: program a system by dividing in features (that can be added, removed or modified independently from one another) and arranged this features in order to select (at runtime) the ones that are needed in a specific context."
"2020/09/29 3:03:02 PM UTC+1","X AE A-XII","A context-oriented system is a program that needs to perform a specific task but react in different ways depending on external factors. For example, a plane needs to fly (task), but he may reach this goal by reacting differently depending on the altitude, external pressure, temperature, ... (context)","A context is a specific configuration of external factors / an environment (e.g. brightness, temperature, location, ...).","A feature is a specific functionality of an application that has a specific and defined goal (e.g. ""fly"" for a plane, ""rotate screen"" for a phone, ...).","The difference between the context-oriented programming paradigm and the feature-based context-oriented programming paradigm is the way of handling the context. COP is much more rigid because the features and contexts are tightly linked, whereas FBCOP defines the context and the features separately and then makes a link between the two."
"2020/09/29 3:11:35 PM UTC+1","SwMaintAnon","A context oriented system is a dynamic system that acts according to the situation that is occurring ","A context is the situation or environment in which something occurs. Ex location, the weather (sunny or rainy), the ambiance (work environment or home), etc","A feature is a system functionality that is visible to the user. For example, a car can have a radio feature in which the passengers can listen and change radio stations. ","The context oriented programming paradigm describes the way the systems behaves according to the context, while the feature-based context-oriented programming paradigm is a more specific way of CO programming that is better and more scalable as it maps the different contexts that are relevant to to the system to the features that those contexts activate"
"2020/09/29 3:54:28 PM UTC+1","PtoléméeSense8","A system that can adapt and act differently depending of the context, and not only as a response to the inputs given by the user. For example, increasing the sound volum is there is more surrounding noise.","A context represents all the elements that are part of the surrounding and the conditions in which the system is being used, and not the direct inputs from the user. Thoses elements can be retrieved from the surroundings, the state of the system or depending of who is the user. Examples for mobile phones: battery level, CPU load, orientation, ambient noise, disability of the user,...","A feature is a distinct component of a systel that the user can use. Examples for a computer: screen, keyboard, CPU, GPU,... The features can be assembled in different ways to make different systems from the same families. There are mandatory and optional features for each family of systems.","The context-oriented programming paradigm makes it possible to have code that adapts to the context at runtime. This allows to have a system that has different behaviours in different contexts while keeping a code clean and efficient.
The feature-based context-oriented paradigm is an application of COPP where abstract contexts are mapped to concrete features that are activated or deactivated, depending on the context."
"2020/09/29 4:41:40 PM UTC+1","Little Nemo","It is a system that can change its behavior depending on its environment","every input that is not explicit like the weather or the position of the phone","it something that adapt the comportement of the system to the context, i think ...","It's still not clear to me"
"2020/09/29 5:01:01 PM UTC+1","SwMaintAnon","A context oriented system is a dynamic system that acts according to the situation that is occurring ","A context is the situation or environment in which something occurs. Ex location, the weather (sunny or rainy), the ambiance (work environment or home), etc","A feature is a system functionality that is visible to the user. For example, a car can have a radio feature in which the passengers can listen and change radio stations. ","The context oriented programming paradigm describes the way the systems behaves according to the context, while the feature-based context-oriented programming paradigm is a more specific way of CO programming that is better and more scalable as it maps the different contexts that are relevant to to the system to the features that those contexts activate"
"2020/09/29 5:29:58 PM UTC+1","Les Fifous","It's a system who are taking of the different context. For example, with a sensor they will know the temperature inside the room. The system will make decision according this information. In this case, turn or not the air conditioning.","It's all the information that change our idea about something. If it's raining, will I go running ? ","A feature is a distinctive aspect of something. In this case, the algorithm or an application","Context-Oriented programming paradigm: This paradigm will only use the context model to make their execution.
Feature-based-Context-oriented programming paradigm: This paradigm will take first the context model in account. Then with the mapping model as a feature selection. And use this feature for the execution."
