"Horodateur","In your role of context-oriented designers, did the proposed development methodology help you to better elicit the contexts and features of your context-oriented application?","Did describing the rationale of the non-trivial contexts and non-trivial features help you to decide whether the contexts and features of your context-oriented system are relevant?","In your role of context-oriented designers, did the proposed development methodology help you to better structure the contexts and features of your context-oriented system? In other words, did it help you to better elaborate and organise your context and feature model?","In your role of context-oriented designers, did the proposed development methodology help you to define the mapping from contexts to features, in other words what contexts trigger the activation or deactivation of what features?","How do you assess the complexity of using this development methodology to design context-oriented systems? (As opposed to not having use such a development methodology)","Can you mention one or more positive aspects of this proposed development methodology? (What did you like? How did it help you?)","Can you mention one or more less interesting aspects of this development methodology?","Do you have any further suggestions regarding how to improve the proposed methodology?","How do you assess the expressiveness of the proposed programming framework to declare the context and feature model?","In a few lines, justify your previous answer by explaining what you liked or not and what aspects can be enhanced.","How do you assess the expressiveness of the proposed programming language in the declaration of the mapping model?","In a few lines, justify your previous answer by explaining what you liked or not and what aspects can be enhanced.","How do you evaluate the overall complexity of implementing feature definitions?","What aspects of defining features did you consider easy? Explain.","What aspects of defining features did you find complex? Explain.","How do you assess the complexity of the imposed files structure of feature-based context-oriented applications? An example of the files structure of a smart messaging system is shown below.","Explain your previous answer. What did you like or not? Do you have some suggestions to improve it?","In hindsight, now that you have implemented a first feature-based context-oriented application, how do you assess the overall complexity of the programming framework?","Explain your previous answer.","Can you mention one or more positive aspects of this proposed programming framework?","Can you mention one or more less interesting aspects of this programming framework?","Do you think the proposed programming framework helps you in tackling the intrinsic complexity of building of feature-based context-oriented applications while avoiding accidental complexity? (Intrinsic complexity refers to the natural complexity of creating feature-based context-oriented applications while accidental complexity is that added by developers in the programming framework to implement such applications.)","Explain your previous answer.","Do you have any further suggestions regarding how to improve the proposed programming framework?","Did you think that the user interace library is sufficiently usable and easy to use? Explain.","Do you think that the API (Application Programming Interface) of the proposed user interface library is sufficiently complete?","If you found that the API is not complete, which functions is(are) missing?","Can you mention one or more positive aspects of this proposed user interface library?","Can you mention one or more less interesting aspects of this user interface library?","Do you have any further suggestions regarding how to improve the proposed user interface library?","Which visualisation tool did you use in your developping and debugging tasks?","Can you explain a situation where you used the Feature Visualiser tool?","Can you explain a situation where you used the Context Feature Model Visualiser tool?","Do you have any further suggestions regarding how to improve the proposed visualisation tools? Or can you think of other visualisation tools that could be helpful?"
"2021/12/18 5:10:26 PM UTC+1","3","2","3","3","4","C'était bien expliqué et ça nous a permis de gagner du temps","La partie du lexique était un peu redondante ","","4","C'était clair et ça permettait d'avoir une vue d'ensemble précise ","2","Les désactivations pas vraiment prises en charge ","4","Visualiser l'ensemble ","Trouver des noms cohérents et différents pour chaque feature ","3","Nous l'avons trouvé cohérent et facile mais le dossier skeleton n'avait pas un nom très intuitif ","2","Pas toujours facile de comprendre comment les fichiers étaient liés les uns avec les autres et devoir respecter certaines typographies de noms pour que ça fonctionne ","Les différents dossiers permettaient de facilement comprendre la structure générale que le code devait avoir ","Devoir mettre certains fichiers dans skeleton qui aurait aussi bien pu se retrouver dans le dossier des features ","3","La structure générale proposée nous a aidé à correctement nous lancer dans le code et donc à ne pas rendre le problème plus complexe dès le début ","","Elle est fort longue et on a parfois eu du mal à s'y retrouver dedans, même pour des choses assez basiques","2","","Elle a l'air assez complète pour faire des choses simples","Difficile de s'y retrouver dedans ","","Context Feature Model Visualiser","","Nous l'avons utilisé pour être sur d'avoir lié nos contexts et features correctement ",""
"2021/12/18 5:30:04 PM UTC+1","3","3","1","1","2",":(","Dont see the point of it","","1","I dont like how it works, COO is clearer and easier","1","I dont like how it works, COO is clearer and easier","2","it's not that hars since its a ""small"" implementation","but it'll probably become very hard when the project grow","2","a LOT of files that should be linked under the same class","1","didnt like how it works","-","context-feature","2","i dont hink it will avoid this kind of complexity","","not realy, some weird behaviour with some functions","2","","-","why not use FX directly ?","","Feature Visualiser;Context Feature Model Visualiser","had a bug whti the context activator","had a bug whti the context activator",""
"2021/12/18 6:05:44 PM UTC+1","3","4","3","3","1","the use of the Ruby programming languages makes the refinement very easy to write and read.
I come from the Rust ecosystem and i'm sure that a similar system would be *ugly* both to set up and to read.","writing graphical user interfaces is really hard. We struggled so much in this.","","4","From my understanding, the use of Ruby and its reflexion system helps a lot.
The fact that ruby evaluates files from the top to the down allows a lot of interesting behaviours that have been exploited in the framework.","4","Ruby allows to define tiny and simple DSLs, which makes it easy to write complex application using a very simple syntax.","2","It was very simple to sit down on a table and discuss with your mate about what would be required for the messaging application. We had to imagine how we want it to be and use our imagination, allowing us to try to experiment new things.","Much of the features we thought about were bad ideas. We had to throw away them either because they just would not fit with the other features or because they would be useless in most real-world usages.","2","It was very painful at first, but after some time we understood why it was required and why it was a good idea to follow this model.","2","It is very easy to read once it's there, but it is way to hard to write. The features interact with each other in a sometimes non-predictable manner, which makes debugging more complex than it should be.","the programming framework uses very well all the different aspects and characteristics of the ruby programming language.","We had a lot of pain understanding the differences between behavior_adaptation and user_interface_adaptation, the naming of the modules defining the adaptation.

Sadly, the framework itself is complex at the beginning. It took us several hours to understand what is actually happening. There's a very steep learning curve.","4","The framework was quite complex to use, but its complexity is still lower than implementing a {feature,context}-oriented application from scratch.","The only thing i miss from the programming environment is... a type system :(
i really think it would help us to catch a bunch of bugs before actually running it.
This is not fixeable sadly, as ruby itself has no type system.","It was usable, but it definitely lacked any kind of proper documentation. We understood that the provided framework provided an abstraction layer over FXRuby, but it hide too much features from it while exposing others.
When we want to do a graphical thing, it is not clear whether if we should dive in FXRuby documentation or in the framework implementation to find what we want.","1","I don't think it lacks functions. I do think it lacks sufficient documentation.","It allowed us to write graphical application.. which is quite unexpected given our level in graphical interface conception.","We don't have much to say given our knowledge gui frameworks.","","Context Feature Model Visualiser","We did not use it. The information it displayed were very insufficient.","We needed to ensure that a couple of features were activated in the correct order.
We also needed to check what feature is activated and when.",""
"2021/12/18 8:18:27 PM UTC+1","3","2","3","3","3","It is interesting to have such development methodology in order to model COP applications. It is a very clear way to do it. ","Very hard to develop using RubyCOP.","","4","Speaking about the expressiveness, we couldn't do better","3","It is very clear but it could lead to a big code very fast.","2","It is very easy to use the model view method in order to develop our feature definitions.","It is hard to know exactly the scope of our global variables. And the ""proceed"" mechanism is hard to understand.","4","The file structure is great and doesn't need any improvements","2","The COP part is very easy to understand and to implement, but the programming part is hard to code.","Clearful to declare a COP.","Doc is missing","3","It is helpful in order to develop feature-based context-oriented applications, but hard in RUBY.","","No, the UI library is not sufficient and hard to use. (Bugs using ""above"", colours that goes to default, ...)","2","Didn't had the time to explore and test them all.","Easy to use since it is short.","Not beautiful at all.","","Neither","","",""
"2021/12/19 10:55:16 AM UTC+1","3","3","4","3","2","La première phase nous permet de bien comprendre le sujet et d’avoir une idée de ce que l’on veut faire","-Juste après avoir réalisé les modèles, c’était difficile de réaliser un diagramme de classe et de savoir quelle feature adaptait quelle clase 

-On a du rajouté des feature à notre modèle lors de la phase d’implémenter parce que on ne se rendait pas compte que toute l’implem devait aller dans les features","","3","Juste un peu de mal à comprendre comment activer un context par défault ","4","Très rapide à réaliser ","3","La reproduction de modèle est facile à réaliser ","Il faut déjà avoir une idée clair du diagramme de classe pour pouvoir savoir quelle classe une feature adapte ","4","C’est bien structuré. Le dossier contenant les feature peut juste devenir assez grand","3","Parfois dur a faire fonctionner surtout quand le modèle n’est pas encore cohérent. On cherche pas mal ce qui ne va pas de le modèle sans que les messages d’erreur aide forcément ","La décomposition en petite classe se fait automatiquement donc pas de grande classe qui regroupe tout","Message d’erreur plus précis. Par exemple erreur à l’activation de context dire le context qui pose problème et pas citez tout les contexts que l’on tente d’activer ","4","Tout à fait d’accord, le fait de gérer automatiquement l’activation et désactivation de feature rend la tâche du développeur beaucoup plus facile","On a eu beaucoup de problème pour savoir et décider l’ordre dans laquelle s’active les feature obligatoire et activer par default","Une fois bien compris, oui elle est facile et rapide à utiliser ","3","-Une fonction pour savoir si un ui objet a déjà été créé 
-Une fonction pour ajouter des objets plus complexe (image)","La facilité et rapidité d’agencer les différents blocs","La fonction pour ajouter un objet est assez longue ","","Neither","","",""
"2021/12/19 5:25:27 PM UTC+1","3","2","2","1","3","The testing part is a good way to set baseline requirements","It is rather complicated to realize how many features and contexts we have whilst building an FBCOP application without sketching an initial feature and context model. Building the lexicon as a first step before sketching anything feels like we're doing 2 steps forward one step back every time we go over our progress.","Increasing the initial workload and content seen during the first part of the course so that more assistance can be provided to students when they are building their FBCOP application. Also provide information about the UI much earlier than 10 days before the deadline.","4","Declaring is very easy and visual. Follows the overall flow of a FeatureIDE model.","4","Declaring is very easy and visual.","3","Quite easy","None","4","The structure is very easy to understand and use. No ideas to improve it.","1","It is very tedious to visualize which features affect which class when MANY features are defined. The context-feature activation order makes it reaaaally hard to make things work as they should 100% of the time when we are trying to build something that is somewhat complex. 
A system with certain contexts activated does not always behave the same depending on its history which is so weird.","Makes FBCOP possible !","The debugging which is often due to the way the programming framework is implemented, meaning that we have to consider much more things when building our models.","2","Well explained in the previous answers","Enhance the documentation in order to provide many more examples of tricky situations. 
It is necessary to know the framework before implementing anything, maybe show the framework to students earlier.","FXRuby in itself is alright, however using the RubyCOP version of FXRuby adds another layer of complexity. Overall OK.","2","","Uses FXRuby which is well documented.","Many tedious arguments in each function for an object oriented language.","","Context Feature Model Visualiser","No","Yes. Model says feature is activated, and generated test suite says the same thing. Framework does the opposite.","Resize window with the models, and allow for moving without just clicking on the text section."
"2021/12/19 5:35:27 PM UTC+1","3","3","3","4","2","More reflection before taking actions.","It takes a lot of time. It was sometimes a little blurry to know if we were on the right track.","Donnez de tips and tricks pour faire moins d'aller-retours pendant le processus de reflection, ce qui fait perdre beaucoup de temps.","3","Beaucoup de répétition dans le code de cette partie-là.","2","On a eu une bataille de contexts pour une feature sans trop d'idée de comment la résoudre.","3","Ruby est un language plutôt simple a prendre en main. On a su reprendre beaucoup d'éléments qui nous étaient fournis.","Avec simplement une erreur annonçant un incompatibilité du modèle, difficile de trouver la cause, malgré les outils fournis.","2","Beaucoup de fichiers assez courts et petits. On aurait préféré des fichiers 2 fois plus longs mais 2 fois moins nombreux. La structure des dossiers était claire.","3","Avec les éléments de base fourni, nous avons rapidement trouvé notre chemin.","Tout le travail automatisé d'activation/désactivation et les vérifications de compatibilité des modèles.","Le nombre de lignes répétées/similaires + le nombre de fichiers nécessaire à la structure du projet.","4","Toute la partie déjà implémentée aidait énormément.","","Non, j'ai trouvé assez complexe de s'en servir pour créer de nouveau éléments.","2","","Il y a beaucoup de lien entre les éléments: on peut ajouter des éléments dans, au dessus, en dessous,... des éléments déjà présents.","Les liens ne sont pas tjrs clair et à cause de 'proceed' et des liens entre les classes, la structure des éléments visuels changeait sans que je ne comprenne vrmt pourquoi.","","Context Feature Model Visualiser","","Pour résoudre les problème de modèle incompatible et pour visualiser la version mise a jour de notre arbre, sans devoir repasser par FeatureIDE.","Nous n'avons pas trouvé de tutoriels d'explication pour le feature visualiser."
"2021/12/19 6:18:30 PM UTC+1","3","2","3","3","3","Implementing features/contexts one a the time was a good idea.","We didn't fully understand the methodology so we aren't sure that we can give less interesting aspects.","","4","The framework is very expressive, we know what we are doing.","4","The mapping is very straighfoward","2","Declaring features and constructing the model is very easy.","Veryfing our model and finding erros in it was challenging. Expecially errors such as : model not consistent after : ... were hard to correct in our experience.","3","It's easy to use but it's not always very clean. For instance the feature_definitions folder is very big. Maybe classes inside this folder can be split into subfolder.","2","Compared to OOP, COP is harder to implement. Overall the framework does a good job but it's a bit heavy to use.","It helps to facilited the developpement when you have a lot of different behaviors in your application. ","Its very heavy. For instance when declaring a new feature, one needs to change multiple files(feature, mapping, maybe context, and the new class itself). Another drawback is that we feel in practice most features from an app don't change based on contexts. So having a heavy framework for those few cases isn't pleasant to use.","3","It does the job overall but as said previously the machinery is heavy.","","It works but it's not easy to use","3","We didn't manage to implement popups.","The naming of methods is self-explainatory","The arguments of the methods are numerous and not always in the same order. It's not always practical","We experienced segfaults (core dumped) during our testing. We don't know if it was a mistake on our side or not. A segfault in a high-level language seems weird to have.","Neither","","","Maybe you can simplify the activation of the tool. The usage is good but lanching the tool is slow and sometimes it didn't work for us."
"2021/12/29 1:46:45 AM UTC+1","3","3","3","4","3","I liked the proceed mechanism. It's a neat way to enable modifications of the UX based on context.","Knowing how one should approach the development of his app isn't always clear.
It took some time to get used to the methodology and it wasn't really easy and possible to structure the code as we structured the models","","3","I believe that because of the ruby framework we get hit by some limitations.
But it may also just be because of our limited time and knowledge on the subject.
Maybe a webdev approach (using html, js, css / react) would be a good idea too? ","3","I personaly don't like Ruby a lot.
Maybe making a node module / using nodejs and html/css/js etc would be a good idea too.","2","Making the contexts, features & mapping","Implementing everything in Ruby wasn't easy (lack of time too) since it's the first time we've used the programming language. ","3","Knowing how many files there were, I don't know if I could've structured them better than that.","2","It's Ruby and It's the first time we've used it, so we couldn't work as fast as we initially hoped we would.","-","-","2","I don't know if it helps tackling the complexity of building such an application, but it being in a language we didn't get used to before-hand definitely didn't help.
But some mechanism implemented in the framework were definitely helping a lot (proceed mechanism). ","","Somewhat","2","","I don't really have something to menssion","Maybe if it could be a little more complete (/ with more use cases) it would help a lot more.","","Neither","","",""
"2021/12/29 11:34:34 PM UTC+1","3","1","4","3","2","i liked to see the progress in my comprehension and my work","In the report the class diagram part","","3","i didnt like to code on ruby.","4","nothing to say","4","nothing to say","at the begining it was a bit complex but it was more easy when i understood how to add some features","2","no","2","the framework was ok for basic changes but hard to understand and bind with the ui","the mapping is easy ","no","3","i think that the framework can reduce the complexity of designing context oriented app","","no it was very hard to bind the ui","2","","no","i didnt had the time to work on it","","Context Feature Model Visualiser","","",""
